REGIONS,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,Abaca (dried raw fiber),1492.42,1853.36,2236.46,1741.29,1599.11,1958.81,2969.7,3341.68,3267.34,2984.28,2623.9,3505.18,3536.89
,Abaca Leafsheath,0,1,0,0,0,0,0,0,0,0,0,0,0
,Abiu,0,0,0,0,2.96,0,0,0,0,0,0,0,0
,African Palm Leaves,0,0,0,0,0,0,0,0,0,0,0,0,0
,Agitway,0,0,0,0,0,0,0,0,0,0,0,0,0
,Alogbati,8175.18,8259.21,8223.24,7965.57,7649.06,7427.17,7299.05,7202.01,7257.17,7181.95,7427.2,7759.44,7900.28
,Alubihod,8.27,9.02,12.28,31.41,35.85,31.22,29.54,31.45,33.46,31.93,33.96,33.24,33.5
,Alucon(bungon),0,0,0,0,0,0,0,0,0,0,0,0,0
,Ampalaya Fruit,2652.54,2720.29,2718.58,2634.9,2725.81,2808.74,2851.36,3043.37,3082.91,3002.82,3260.65,3243.58,3119.67
,Ampalaya leaves,112.9,116.6,117.58,116.79,115.66,118.95,118.1,117.39,121.65,117.18,122.49,122.52,119.47
,Anonas,2.41,2.25,1.91,0.68,0.63,0.52,0.47,0.42,0.38,0.02,0.02,0.02,0.02
,Anthurium,42.3,37.99,37.38,34.6,32.42,28.77,27.15,26.16,25.2,24.99,23.98,24.94,24.47
,Apat-apat,12.45,10.74,8.79,7.7,2.96,1.58,2.2,2.1,1.83,1.62,1.55,1.4,1.22
,Apatot,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ariwat,0,0,0,0,0,0,0,0,0,0,0,0,0
,Arrowroot,16.54,15.46,15.83,13.6,11.49,8.43,6.89,6.5,6.38,6.66,6.64,6.33,6.06
,Ashuete,58.4,57.35,57.21,57.98,57.39,52.55,42.62,41.34,36.28,34.21,38.39,41.2,43.56
,Asparagus,1.6,2,1.85,1.87,1.5,1.3,1.25,1.18,1.19,1.11,1.04,1,0.92
,Aster,8.42,8.84,9.2,9.11,9.4,9.53,9.24,8.64,8.33,9.12,9.2,9.53,10.13
,Atis,808.08,753.51,704.74,693,673.23,581.55,565.9,538.33,522.48,504.78,491.56,472.88,436.51
,Avocado,908.07,900.34,896.43,833.09,752.52,688.29,676.24,671.01,691.6,689.39,710.12,747.98,806.57
,Azucena,5.41,5.6,5.84,5.43,4.73,4.42,4.06,3.62,3.24,3,2.82,2.54,2.22
,Baby's Breath,35.77,33.14,29.23,29.28,25.72,24.67,24.94,25.51,26.36,27.67,28.25,28.76,29.41
,Bagbagkong flower,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bagbagkong fruit,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bago leaves,5.05,4.66,4.26,3.99,3.31,1.63,0.85,0.85,0.76,0.66,0.72,0.66,0.61
,Balimbing,39.87,38.59,38.07,37.82,36.74,36.01,31.93,29.38,27.96,27.31,25.06,24.92,24.09
,Ballaiba,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bamboo shoots,1127.9,1133.26,1180.76,1147.38,1088.43,1048.08,1044.91,1104.17,1134.82,1097.68,1123.47,1088.09,1042.14
,Banaba,2.78,2.57,2.15,1.85,1.83,1.76,1.78,1.56,1.5,1.6,1.7,1.78,1.91
,Banana,332177.65,344588.49,353137.67,332761.56,270329.93,285578,284696.62,291136.32,302101.89,304644.41,293419.13,308166.38,303402.11
,Banana Blossom,7864.76,8113.8,8278.41,7196.04,6661.53,6423.06,6289.73,6394.89,6513.01,6422.51,6557.92,7114.18,6990.39
,Banana Bungulan,40260.21,40908.3,41332,40521.36,36661.4,37048.27,36390.41,36135.29,35887.77,35562.32,34249.69,33771.72,33236.79
,Banana Cavendish,1551.59,1588.94,1647.78,1487.98,1287.9,1318.3,1409.88,1641.46,4566.32,5777.3,5081,5221.11,5662.24
,Banana Lakatan,19245.45,19757.48,20155.75,19696.11,17244.04,18488.06,19141.54,19748.97,20442.67,21213.13,22796.34,24078.46,23766.03
,Banana Latundan,51427.21,53101.92,54197.84,50271.04,41203.07,43436.18,42809.68,44304.78,44993.51,44311.06,42904.93,44841.98,43012.32
,Banana Leaves,2587.89,2677.04,2753.13,2584.92,2526.22,2651.15,2670.39,2770.04,2820.29,2802.85,2828.3,2874.56,2673.32
,Banana Others,16196.57,16688.63,17085.25,16915.36,14301.15,14698.44,14537.85,15069.86,15790.58,15726.19,15538.47,16179.44,16748.89
,Banana pith,499.71,512.28,544.7,596.99,584.7,557.39,562.63,591.52,619.17,601.12,590.84,579.91,575.82
,Banana Saba,203496.62,212543.22,218719.05,203869.72,159632.38,170588.76,170407.26,174235.96,180421.04,182054.41,172848.7,184073.67,180975.83
,Bariw Fiber,27.13,163.28,175.47,171.03,184.01,195.14,201.34,217.22,214.33,214.13,214.85,225.44,236.63
,Basil,0,0,0,0,0,0,0,0,0,0,0.07,0.05,0.06
,Batwan,271.49,283.5,260.39,259.69,240.63,236.61,242.89,269.96,291.28,318.1,343.07,348.63,348.56
,Bawing Sulasi,0,0,0,0,0,0,0,0,0,0,0,0,0
,Beets,0,0,0,0,0,0,0,0,0,0,0,0,0
,Betel Nut,13.1,13.13,13.04,11.66,11.24,9.96,9.23,9.18,8.79,9.3,9.39,8.9,8.5
,Bignay,35.3,31.93,22.87,19.56,17.71,16.48,15.09,16.27,15.12,12.81,13.3,13.18,13.29
,Black Beans,0,0,0,0,0,0,0,0,0,0,0,0,0
,Black Pepper,5.74,5.66,5.32,5.2,5.16,5.08,4.82,3.74,3.4,2.84,2.61,1.58,0.96
,Blue Grass,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bottle Gourd/Upo,2467.41,2532.94,2532.38,2504.96,2527.98,2516.22,2481.75,2435.38,2463.93,2431.75,2528.54,2510.38,2556.04
,Breadfruit,340.23,335.97,328.97,325.51,287.3,276.06,268.16,256.01,251.16,249.85,245.34,232.53,221.32
,Broccoli,2.86,6.61,7.55,7.5,6.75,11.5,10.38,9.24,10.75,10.81,9.25,7.67,7.88
,Bromeliad,37.55,29.72,24.87,21.6,16.74,14.99,12.53,10.24,8.13,6.53,6.22,5.85,4.35
,Cabbage,476.6,484.22,487.96,451.26,440.67,483.97,449.55,487.01,527.99,493.96,481.33,514.79,540.7
,Cacao,66.97,59.22,61.87,62.56,60.4,65.06,67.5,73.98,86.15,96.48,115.8,133.73,129.61
,Cactus,0.12,0.14,0.2,0.37,0.5,0.44,0.45,0.46,0.66,0.76,0.92,1.03,1.18
,Calachuci,2.32,2.42,2.37,3.31,3.98,3.72,3.57,3.63,3.48,3.44,3.4,3.37,3.29
,Calamansi,6162.37,5567.6,5340.15,5289.92,5036.68,4659.47,4344.99,4325.95,4392.55,4133.48,4369.72,4471.74,4097.92
,Calumpit,0,0,0,0,0,0,0,0,0,0,0,0,0
,Camangeg,0,0,0,0,0,0,0,0,0,0,0,0,0
,Camansi,90.84,107.94,123.65,109.71,100.73,91.19,93.71,96.24,96.52,97.69,101.83,99.99,97.15
,Camatchili,175.83,149.45,151.4,147.3,130.76,123.19,111.2,105.38,86.17,91.54,92.81,86.29,81.29
,Camote tops,5057.8,5130.6,5204.26,5184.15,5228.79,5147.52,5226.7,5454.1,5659.58,5762.8,5953.08,6288.96,6718.82
,Canistel,55.43,51.5,51.32,50,41.97,35.94,31.48,27.63,25.58,23.69,23.31,23.13,22.95
,Carabao Grass,4.62,4.95,6.44,6.91,7.35,6.91,7.38,10.93,11.91,13.47,15.53,15.69,16.24
,Carnation,0,0,0,0,0,0,0,0,0,0,0,0,0
,Carrots,153.63,149.2,135.64,139.09,143.73,139.53,150.05,149.23,157.7,153.6,153.53,147.97,133.75
,Cashew,596.22,562.77,536.47,546.44,596.86,626.38,572.26,601.37,547.35,629.63,591.73,568.02,537.25
,Cassava,60115.71,61920.93,62408.07,62560.37,61237.54,59621.63,58090.33,56529.27,53262.99,51718.55,51381.8,52373.59,52846.93
,Cassava for food,0,0,0,0,0,0,55125.93,55078.77,53262.99,51718.55,51381.8,52373.59,52846.93
,Cassava for Industrial use,0,0,0,0,0,0,2964.4,1450.5,0,0,0,0,0
,Cassava tops,0.87,0.81,0.73,0.79,0.8,0.83,0.77,1.09,2.69,0.8,0.81,0.92,0.84
,Castor Beans,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cauliflower,5.56,46.5,70.25,72.55,64.3,87,77.6,84,92.52,96.35,96.32,79.33,79.8
,Celery,1.25,1.7,1.54,1.47,1.57,1.54,1.46,1.45,1.44,1.38,1.32,1.08,1.01
,Chayote fruit,651.62,682.68,688.54,680.61,708.2,689.73,683.27,683.56,713.28,694.35,721.18,777.48,835.33
,Chayote tops,0,0,0.47,0.47,0.72,0.61,0.59,0.61,0.64,0.61,0.63,0.66,0.65
,Chaysim,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chick Pea/Garbansos,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chico,929.35,898.35,865.85,847.93,826.76,756.54,725.03,723.14,691.09,695.33,684.66,662.64,603.09
,Chili Pepper Fruit,48.95,52.68,56.26,55.08,59.11,60.57,63.25,69.7,73.76,60.78,54.97,53.66,51.61
,Chinese malunggay,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chives,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chrysanthemum,11.46,12.69,13.34,12.48,11.85,15.52,15.21,14.08,13.54,12.22,12.46,12.21,11.58
,Coconut (w/ husk),472744.91,459783.73,477952.54,470652.72,359825.93,410887.86,435057.18,467671.34,488254.27,513397.1,521586.92,554684.14,576411.27
,Coconut Leaves,2544.06,2588.91,2627.35,2544.17,2476.28,2544.48,2563.06,2632.87,2622.56,2645.69,2549.71,2595.87,2651.13
,Coconut Mature,461181.26,447009.08,462839.5,448211.63,345159.61,388116.01,402968.08,429643.4,448262.58,470201,478125.24,509759.8,529266.51
,Coconut pith,128.84,150.7,167.97,190.09,211.5,225.83,246.19,271.19,288.93,295.49,299.11,307.81,324.79
,Coconut Sap/Tuba,25757.38,25451.98,24629.06,23963.79,23216.75,23171.79,22946.59,22208.23,21568.23,20542.06,21809.34,21777.5,21524.51
,Coconut Young,11563.65,12774.65,15113.05,22441.09,14666.32,22771.86,32089.1,38027.94,39991.68,43196.11,43461.68,44924.34,47144.76
,Coffee (dried berries w/ pulp),5625.24,5915.65,5694.68,4938.47,4345.77,4390.74,4356.25,4434.88,4218.95,4313.46,4179.68,3887.01,0
,Coffee (green coffee beans),2812.62,2957.82,2847.34,2469.23,2172.88,2195.37,2178.12,2217.44,2109.48,2156.73,2089.84,1943.51,1782.89
,Coffee Arabica (dried berries),884.63,927.96,878.91,848.77,766.64,781.75,774.09,708.03,676.29,705.66,674.62,623.96,0
,Coffee Arabica (green coffee beans),442.32,463.98,439.46,424.38,383.32,390.88,387.05,354.02,338.15,352.83,337.31,311.98,287.7
,Coffee Excelsa (dried berries),1.6,1.55,1.52,1.47,1.42,1.45,1.5,1.36,1.51,1.66,1.78,1.94,0
,Coffee Excelsa (green coffee beans),0.8,0.78,0.76,0.74,0.71,0.73,0.75,0.68,0.76,0.83,0.89,0.97,0.84
,Coffee Liberica (dried berries),156.26,166.29,161.27,155.95,140.25,142.18,137.78,131.56,126.72,130.5,127.02,119.77,0
,Coffee Liberica (green coffee beans),78.13,83.14,80.64,77.97,70.13,71.09,68.89,65.78,63.36,65.25,63.51,59.88,56.99
,Coffee Others (dried berries),0,0,0,0,0,0,0,0,0,0,0,0,0
,Coffee Others (green coffee beans),0,0,0,0,0,0,0,0,0,0,0,0,0
,Coffee Robusta (dried berries),4582.75,4819.85,4652.98,3932.28,3437.46,3465.36,3442.88,3593.93,3414.43,3475.64,3376.26,3141.35,0
,Coffee Robusta (green coffee beans),2291.38,2409.93,2326.49,1966.14,1718.73,1732.68,1721.44,1796.97,1707.22,1737.82,1688.13,1570.67,1437.37
,Cogon,3869,4043.01,4016.44,3937.53,3857.09,3672.85,3565.3,3725.97,3707.13,3612.35,3689.11,3705.94,3789.28
,Coir,223.4,231.02,248.07,266.82,252.53,225.18,217.87,214.66,210.79,190.5,193.31,192.59,203.51
,Coriander,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cotton,6.9,4.52,54.62,21.44,7.89,4.28,3.15,8.1,0.26,2.24,4.75,3.71,4.07
,Cowpea,500.79,513.97,487.26,480.52,507.92,482.14,407.11,405.89,377.32,368.43,352.98,351.92,344.35
,Cowpea (dry),43.31,41.5,35.86,34.28,37.79,33.6,22.25,22.45,19.09,18.05,16.74,15.45,14.6
,Cowpea (green),457.48,472.47,451.4,446.24,470.13,448.54,384.86,383.44,358.23,350.38,336.24,336.47,329.75
,Cowpea tops,2.48,3.25,2.85,2.73,2.57,2.31,2.13,2.11,2.04,2.02,1.75,1.56,1.38
,Cucumber,270.44,295.65,309.45,323.48,379.01,387.66,399.66,462.44,496.55,528.12,581.55,622.16,650.71
,D.Marginata Tricolor,0,0,0,0,0,0,0,0,0,0,0,0,0
,D.Sanderiana White (Whitecorn),0,0,0,0,0,0,0,0,0,0,0,0,0
,D.Sanderiana Yellow,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dahlia,1.19,2.06,2.66,2.82,2.51,2.51,2.5,2.47,2.49,2.63,3.31,3.46,3.76
,Daisy,68.43,67.44,66.76,61.12,55.22,54.83,52.72,51.83,52.26,51.62,50.35,49.47,48.22
,Dawa,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dendrobium,140.74,95.06,81.9,65.23,51.99,46,42.71,39.34,37.9,35.19,32.75,33.46,33.39
,Dracaena,37.8,38.46,41.4,40.08,35.67,35.14,33.37,36.17,32.77,33.25,32.1,30.77,29.03
,Dragon fruit,0,0,0,0.06,6.51,6.79,7.11,7.97,10.64,16.91,23.83,33.43,51.15
,Duhat,34.25,31.64,29.19,28.55,29.44,34.41,31.36,29.11,24.36,27.88,26.41,22.92,20.97
,Durian,338.02,49.01,168.55,151.36,159.28,143.98,145.53,156.6,183.24,195.43,188.03,173.48,168.86
,Edible fern/Paco,11.97,11.5,9.3,10.25,12.5,15.3,13.25,10.2,9.24,7.99,7.05,6.91,6.15
,Eggplant,14730.3,15085.89,15660.23,16050.98,17021.71,16986.75,17730.6,17136.74,17793.66,16571.86,17115.7,17530.01,16058.07
,Euphorbia,349.93,285.33,237.23,203.35,168.13,148.21,132.58,106.76,86.27,68.31,57.19,50.32,40.15
,Fishtail Palm,0,0,0,0.12,0.1,0.1,0.1,0.45,0.32,0.24,0.24,0.3,0.29
,Flemingia,0,0,0,0,0,0,0,0,0,0,0,0,0
,Florida Beauty,33.26,33.52,39.2,38.12,33.4,33.96,34.13,36.12,35.89,38.77,39.9,43,43.91
,Gabi leaves w/ stem,2870.69,2928.28,3003.71,2966.52,3005,3001.01,2969.84,3003.5,3003.62,3003.97,2950.34,3050.35,3164.67
,Gabi runner,67.73,76.17,87.81,93.94,99.83,106.01,96.61,104.84,111.4,116.33,125.93,134.26,144.19
,Garden pea/Gisantes,0,0,0,0,0,0,0,0,0,0,0,0,0
,Garlic (Dried bulb),35.16,32,19.5,79.56,100.15,89.23,78.75,79.8,89,104.85,133.2,110.13,116.92
,Garlic leeks,0,0,0,0,0,0,0,0,0,0,0,0,0
,Gerbera,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ginger,1312.82,1377.12,1434.45,1408.81,1387.68,1348.7,1373.74,1439.4,1493.24,1430.09,1489.36,1591.93,1721.98
,Ginseng,0,0,0,0,0,0,0,0,0,0,0,0,0
,Gladiola,4.05,4.47,4.68,4.64,4.28,4.44,4.41,4.58,4.68,4.7,4.54,4.52,4.44
,Golden Melon,7,13.5,12.25,11.75,8,10.5,9.4,8.3,7.1,5.96,5.59,4.75,4.26
,Gotocola,0,0,0,0,0,0,0,0,0,0,0,0,0
,Granada,0,0,0,0,0,0,0,0,0,0,0,0,0
,Grapes,0,0,0,0,0,0,0,0,0.8,0.3,0.14,0.02,0.51
,Grapes (Green),0,0,0,0,0,0,0,0,0.68,0.27,0.12,0.02,0.41
,Grapes (Red),0,0,0,0,0,0,0,0,0.12,0.03,0.02,0,0.1
,Greater yam/Ubi,651.44,669.75,676.6,664.42,652.54,647.96,611.05,619.25,614.37,607.14,643.22,658.49,660.6
,Green Corn Stalk,12341.87,12701.41,12864.37,12868.01,12734.08,12557.12,12476.68,13186.61,14172.4,15527.58,15440.83,15762.16,15944.2
,Green papaya,7589.76,7834.94,7921.77,7673.73,6472.54,6535.84,6576.52,6737.13,6831.86,6843.16,7024.67,7241.78,7676.47
,Guava,421.89,396.36,404.7,391.68,317.08,320.54,321.01,330.12,345.58,345.97,335.53,360.19,366.63
,Guava (Guaple),189.55,148.43,142.46,136.39,91.17,109.7,80.48,86.64,93.06,88.72,86.28,95.47,99.61
,Guava (Native),232.34,247.93,262.24,255.29,225.91,236.07,240.53,243.48,252.52,257.25,249.25,264.71,267.02
,Guinea Grass,3.04,0,0,0,0,0,0,0,0,0,0,0,0
,Guyabano,415.33,429.63,469.1,466.08,459.09,431.97,418.91,437.12,448.54,440,436.9,418.44,443.74
,Halib-on,2.27,2.39,2.66,3.01,3.13,3.51,3.48,3.5,3.75,3.98,4.59,5.01,5.21
,Hanlilika,0,0,0,0,0,0,0,0,0,0,0,0,0
,Heliconia,33.83,32.35,29.04,25.2,23.54,21.63,19.6,19.48,18.1,17.68,17.92,17.85,17.68
,Hibi,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ikmo/Buyo,16.88,18.2,18.84,18.82,19.08,18.27,17.53,17.8,18.71,19.21,21.17,21.29,21.59
,Ilang-Ilang,0.26,0.2,0.33,0.33,0.41,0.46,0.52,0.61,0.67,1.38,1.4,1.4,1.41
,Ipil-Ipil Leaves,3305.56,3410.73,3488.24,3224.73,3233.11,3351.27,3253.51,3101.78,2972.26,2829.62,2715.53,2581.81,2490.81
,Jackfruit young,17688.87,18058.75,17937.29,17760.89,16487.52,16911.72,16148.65,15950.63,16127.95,15763.53,15648.54,15137.41,14928.83
,"Jackfruit, ripe",3885.93,4033.64,4001.56,3932.62,3403.5,3444.92,3372,3454.85,3511.93,3490.82,3374.65,3291.79,3166.16
,Jatropha,0.09,0.13,0.13,0.14,0.14,0.06,0.06,0.06,0.04,0.04,0.04,0,0
,Jute,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kamias,156.76,159.87,163.75,156.23,150.17,152.9,151.27,148.86,159.86,163.05,178.29,194.86,192.37
,Kaong,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kaong Sap,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kapok,40.21,37.29,35.92,34.79,30.69,28.8,27.27,23.07,20.64,20.22,19.95,20.62,17.76
,Karamay,13.81,12.01,9.36,8.28,5.81,4.07,3.09,2.43,2.07,1.73,1.58,1.38,1.21
,Katuray,18.27,18.14,16.45,15.38,13.15,9.76,8.66,8.34,8.05,7.69,6.92,6.71,6.04
,Kentucky beans,42.6,38.47,44.4,45.38,14.4,14.5,13.35,11.67,11.15,11.39,10.72,11.22,10.72
,Kidney beans,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kidney beans (red),0,0,0,0,0,0,0,0,0,0,0,0,0
,Kidney beans (white),0,0,0,0,0,0,0,0,0,0,0,0,0
,Kinchay,0.18,0.22,0.23,0.18,0.23,0.19,0.16,0.14,0.11,0.1,0.07,0.06,0.05
,Kondol,24.05,22.8,22.9,19.8,17.5,15.85,9.62,7.54,6.8,6.96,7.85,8.15,9.5
,Kulibangbang,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kulitis,39.52,41.79,51.79,65.88,83.7,89.34,92.56,99.71,101.87,101.06,104.39,109.98,112.69
,Labig Leaves,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lady's Finger/Okra,1454.69,1562.19,1621.75,1633.23,1679.37,1687.86,1773.7,1930.56,2086.69,2168.58,2250.83,2327.5,2310.32
,Lagundi,3.71,3.41,3,2.88,3.31,3.19,3.17,2.7,2.52,2.66,2.82,3.05,3.29
,Lanzones,546.9,356.33,473.99,471.3,481.87,501.31,481.41,425.64,451.36,490.27,472.32,445.59,429.99
,Laurel,3.75,3.12,12.5,2.08,1.41,0.75,0.27,0.25,0.17,0.13,0.2,0.23,0.24
,Laza/Tambo,0,0,0,0,0,0,0,0,0,0,0,0,0
,Leaf Fern,0,0,0,0.09,0.05,0.05,0.19,0.3,0.3,0.56,0.57,0.58,0.55
,Lemon,3.81,3.41,3.4,3.26,2.95,1.93,1.56,1.21,2.03,1.39,1.47,1.75,2.29
,Lemon grass/Tanglad,311.75,347.44,382.44,430.02,477.1,495.59,544.03,627.01,682.09,756.23,845.33,1066.87,1134.41
,Lepote,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lettuce,18.1,28.13,32.74,35.15,35.17,55.13,49.77,53.89,60.13,66.02,65.55,53,54.32
,Likway,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lima beans/Patani,69.55,71.49,71.2,68.28,68.36,68.11,60.29,60.89,60.12,61.29,61.63,58.23,59.53
,Lime,0.93,0.87,0.98,0.99,0.97,0.53,0.66,0.64,0.64,0.86,1.14,1.22,1.96
,Longans,0,0,0,0,0,0,0,0,0,0,0,0,0
,Loquat,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lumbia,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lumbia Leaves,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lupo,159.93,164.57,172.4,175.04,179.13,177.19,169.15,146.12,156.41,162.94,161.35,173.05,168.62
,Mabolo,10.13,9.83,9.85,8.51,6.3,6.39,6.67,6.41,6.7,6.63,7.07,6.37,6.01
,Maguey,19.85,13.48,12.75,11.05,9.65,8.6,8.01,7.6,7.07,6.38,5.78,5.03,4.4
,Makopa,49.61,46.11,43.94,42.25,32.59,33.06,30.13,30.83,23.78,24.23,22.24,20.84,21.24
,Malunggay Fruit,0,0,0,0,0,0,0,0,0,0,0,0,0
,Malunggay leaves,7116.3,7285.21,7431.13,7302.5,7342.54,7252.66,7071.05,7212.62,7191.24,7268.78,7436.17,7549.94,7607.75
,Mandarin,58.82,50.06,49.35,53.56,41.26,39.8,43.44,45.23,45.49,42.7,43.9,47.01,50.62
,Mango,50446.5,45343.94,45868.5,47948.54,44507.34,51972.37,50062.2,48852.47,49057.4,54014.92,51421.07,58575.6,59804.15
,Mango Carabao,46937.27,41551.02,42020.83,43994.22,40587.39,47517.22,45571.26,44335.29,44400.19,48425.25,46106.7,53225.31,54490.78
,Mango Others,3415.56,3681.48,3733.48,3810.87,3793.15,4308.2,4339.08,4370.75,4512.99,5426.71,5162.18,5182.34,5152.04
,Mango Piko,93.67,111.45,114.19,143.45,126.79,146.95,151.86,146.43,144.23,162.96,152.19,167.95,161.33
,Mangosteen,235.22,21.5,30.94,22.89,27.95,29.24,29.19,25,30,32.1,30.09,28.08,25.07
,Manzanita/Aratelis,4.16,4.29,3.88,3.66,3.43,3.34,3.35,3.8,3.87,3.85,4.02,3.92,3.65
,Marang,215.28,65.76,72.17,69.33,67.5,69.15,68.27,74.7,77.29,87.57,89.5,89.48,109.37
,Mayana,0,0,0,0,0,0,0,0,0,0,0,0,0
,Melon,6229.5,5370.36,5538.49,5592.38,5919.86,4886.04,4776.09,4675.46,4520.13,4404.61,4510.4,4283.56,4086.66
,Melon (Honey-dew),58.5,30,44,58,82,117.2,85,81.05,71.63,66.69,64.8,56.85,49.5
,Melon (Muskmelon),6171,5340.36,5494.49,5534.38,5837.86,4744.46,4691.09,4594.41,4448.5,4337.92,4445.6,4226.71,4037.16
,Mini Pineapple,0,0,0,0.07,0.07,0.06,0.06,0.06,0.08,0.09,0.11,0.09,0.07
,Mint,0,0,0,0,0,0,0,0,0,0,0,0,0
,Mungbean/Mongo,2806.72,2552.29,2501.44,2512.9,2696.19,2869.65,2736.14,2762.37,2920.36,2952.52,3287.26,2986.91,2789.3
,Mushroom,2.38,5.08,4.72,4.35,3.73,2.72,2.43,2.32,2.52,3.34,3.97,4.1,5.69
,Mustard,68.31,67.38,65.14,60.77,63.26,57.9,53.95,57.08,55.25,55,56.41,60.64,55.6
,Napier Grass,55.07,59.78,61.93,83.15,100.37,108.78,109.4,120.5,135.25,144.34,158.67,178.32,196.98
,Ngalug,0,0,0,0,0,0,0,0,0,0,0,0,0
,Nipa Leaves,150.85,181.52,202.28,203,215.12,229.41,240.45,250.77,254.93,270.45,284.24,306.55,326.46
,Nipa Sap/Wine,1.22,4.85,8.06,7.19,7.25,6.16,5.42,4.8,4.6,4.36,4.39,4.15,3.88
,Oil Palm (fresh fruit bunch),0,0,0,0,0,0,0,0,0,0,0,0,0
,Onion (mature bulb),163.75,148.6,278.6,230.65,170.1,296.72,278,307,359.6,419,368,271.4,286.22
,Onion leeks,427.99,424.66,438.8,209.52,1.25,0,0,0,0,0,0,0,0
,"Onion, bermuda",160,145,275,228,168.4,296.72,278,307,359.6,419,368,271.4,286.22
,"Onion, native",3.75,3.6,3.6,2.65,1.7,0,0,0,0,0,0,0,0
,Orange,47.33,44.5,46.79,21.31,21.55,19.88,19.6,18.88,16.71,14.76,14.37,15.23,14.35
,Orchids,304.78,214.28,179.39,146.93,121.48,108.92,100.72,94.16,92.38,86.03,81.07,81.34,80.21
,Oregano,1.9,2.04,3.42,3.75,3.57,3.81,4.03,4.52,5.1,6.43,8.09,8.88,9.92
,Pahid,0,0,0,0,0,0,0,0,0,0,0,0,0
,Palm Ornamentals,24.03,28.27,40.42,46.08,47.79,47.02,48.03,51.5,51.63,53.08,56.14,60.18,61.81
,Palong Manok,0,0,0,0,0,0,0,0,0,0,0.02,0.26,0.29
,Pandan (For Fiber),0,0,0,0,0,0,0,0,0,0,36.71,36.81,30.12
,Pandan (fresh leaves),123.89,119.19,119.88,119,109.83,108.84,107.37,109,120.09,116.49,116.46,114.88,118.58
,Pangi,0,0,0,0,0,0,0,0,0,0,0,0,0
,Pansit-Pansitan,1.61,1.66,1.69,1.65,1.66,1.48,1.38,1.41,1.49,1.49,1.51,1.54,1.48
,Pao Galiang,1092.44,1101.72,1073.1,1036.87,979.44,907.24,849.64,819.33,797.64,760.07,771.36,757.43,752.83
,Papait,0.14,0.1,0.1,0.09,0.12,0.07,0.07,0.07,0.05,0.04,0.05,0.03,0.02
,Papaya,6188.09,6333.34,6252.69,6026.4,5256.15,5267.77,5387.14,5564.2,5650.3,5719.39,5767.9,6254.79,6234.05
,Papaya Hawaiian,2827.24,3187.8,3460.59,3496.82,3316.93,3390.19,3560.27,3848.61,3954.99,4069.01,4140.04,4634.86,4619.09
,Papaya Native,3215.65,3007.63,2649.36,2381.42,1791.73,1737.59,1687.96,1577.59,1558.18,1524.41,1553.21,1595.18,1587.54
,Papaya Solo,145.2,137.91,142.74,148.16,147.49,139.99,138.91,138,137.13,125.97,74.65,24.75,27.42
,Parsley,0.15,0.22,0.28,0.3,0.36,0.33,0.29,0.26,0.22,0.21,0.19,0.16,0.14
,Passion Fruit,4.57,4.02,3.83,3.59,3.63,3.46,3.14,2.87,2.47,1.97,2.16,2.22,1.81
,Patola,1005.99,1016.16,999.14,977.15,998.54,982.1,991.52,1031.91,1040.76,1056.82,1092.16,1134.75,1145.3
,Peanut,2061.41,2078.71,2093.31,2114.59,2183.38,2222.48,2072.36,2250.55,2392.96,2295.86,2428.82,2678.11,2672.5
,Pears,0,0,0,0,0,0,0,0,0,0,0,0,0
,Pechay,1775.15,1824.58,1820.49,1784.22,1805.02,1917.51,1974.81,2053.36,2184.39,2164.47,2212.27,2377.18,2566.15
,"Pechay, Chinese",0,0,0,0,0,0,0,0,0,0,0,0,0
,"Pechay, Native",1775.15,1824.58,1820.49,1784.22,1805.02,1917.51,1974.81,2053.36,2184.39,2164.47,2212.27,2377.18,2566.15
